Year;Month;Power Source;Total Investment (rmb x 100 million yuan);Cumulative YOY Growth
2011;4;Wind;144.0;
2010;12;Hydro;791.0;
2014;4;Hydro;190.0;
2011;11;Coal;915.0;
2012;9;Hydro;821.0;
2013;9;All;2386.0;
2017;5;Wind;141.59495;-25.4534068650089
2016;10;Nuclear;374.973549;1.86945483236781
2012;12;Hydro;1277.0;31.5
2016;6;Nuclear;217.0;5.1
2018;9;Nuclear;310.0;4.8
2016;8;All;1704.0;-11.3753091122
2009;8;Nuclear;312.0;
2014;6;All;1227.0;
2014;11;Wind;740.0;51.2
2014;12;Coal;952.0;-6.3
2009;12;Wind;758.0;
2014;12;All;3646.0;-5.8
2015;10;Wind;775.0;21.8
2013;5;Coal;300.0;
2010;3;Nuclear;108.0;
2014;11;Hydro;785.0;-28.5
2013;12;All;3717.0;-0.4
2015;7;Wind;473.0;32.8
2011;5;Wind;191.0;
2012;11;Wind;495.0;
2010;6;Hydro;295.0;
2016;3;Nuclear;90.0;-5.7
2014;9;Wind;540.0;
2011;8;Wind;397.0;
2012;5;Hydro;444.0;
2014;9;Nuclear;378.0;
2012;3;Nuclear;171.0;
2017;2;Wind;37.558887;-45.0292467416643
2017;11;All;2328.8275;-13.3903416231108
2018;6;Hydro;223.0;4.1
2013;4;Hydro;328.0;
2018;10;Wind;395.0;-16.2
2016;5;Coal;273.0;-8.22389125236
2016;7;Coal;463.0;-7.16883844345
2017;3;Nuclear;78.618094;-12.4714535848034
2017;7;Hydro;253.9025;-4.61828530985791
2017;8;Hydro;285.2144;-8.02496190016768
2009;10;All;2323.0;
2012;3;Hydro;276.0;
2011;12;Hydro;940.0;0.15
2014;3;Wind;60.0;
2010;6;All;1344.0;
2011;10;Nuclear;600.0;
2014;10;Wind;636.0;62.2
2011;9;Hydro;635.0;
2015;2;All;403.0;42.0
2014;5;Hydro;251.0;
2009;7;Hydro;950.0;
2013;4;All;849.0;
2017;2;Hydro;57.357189;-31.3602847969761
2017;3;Coal;120.014617;-4.9829163464915
2016;6;All;1210.0;-8.7
2011;7;Hydro;456.0;
2018;5;All;726.0;-5.4
2018;10;Hydro;472.0;20.5
2016;2;Hydro;84.0;-12.7
2014;9;Hydro;572.0;
2016;3;Hydro;106.0;-20.5
2011;11;Hydro;782.0;
2015;5;Nuclear;158.0;-15.0
2010;5;Wind;198.0;
2010;12;Wind;891.0;
2012;7;Coal;479.0;
2013;12;Coal;928.0;-7.41
2015;10;Coal;843.0;28.0
2010;8;Hydro;402.0;
2010;5;Nuclear;196.0;
2013;4;Wind;116.0;
2017;4;Hydro;134.417503;-3.54916463500494
2017;5;Coal;261.684793;-4.29741324976143
2017;10;Nuclear;314.7987;-16.0477473741478
2015;11;All;3079.0;6.7
2015;6;All;1321.0;7.6
2010;9;Nuclear;432.0;
2018;5;Nuclear;152.0;20.7
2013;5;Wind;147.0;
2016;8;Hydro;310.0;-19.1328588415
2010;11;All;3077.0;
2009;7;Wind;257.0;
2013;2;Hydro;163.0;
2009;10;Nuclear;422.0;
2011;10;Coal;818.0;
2011;4;Nuclear;199.0;
2014;2;All;284.0;
2013;7;Coal;442.0;
2017;7;Wind;254.5389;-18.3176754597681
2018;6;Nuclear;204.0;11.6
2014;7;Nuclear;276.0;
2012;4;All;899.0;
2015;8;All;6074.0;
2012;2;Wind;96.0;
2008;12;Nuclear;281.0;
2018;11;Coal;672.0;-0.3
